# Cerca lineal. Temps en microsegons
# Talla      Millor     Pitjor    Promedi
#----------------------------------------
   10000      0.363      2.976      1.650
   20000      0.350      7.101      3.766
   30000      0.351     10.287      5.401
   40000      0.351     14.177      7.385
   50000      0.363     16.886      8.853
   60000      0.356     20.916     10.416
   70000      0.352     25.089     12.493
   80000      0.360     28.307     14.290
   90000      0.357     32.082     15.959
  100000      0.355     35.451     17.683
